"","CapturedExperienceId","c1_BootToReadyForCredentials","c2_CredentialsEnteredToDesktop","c3_DesktopToIdle","totaltime","rounded_totaltime"
"1",281399,25.3320048,76.513613,1.9,103.7456178,104
"5",281458,114.6020901,14.2590866,1.9,130.7611767,131
"6",281460,4.4452542,2.91811809999999,1.9,9.26337229999999,9
"7",281479,24.5009337,14.6765904,1.9,41.0775241,41
"8",281483,86.0807645,18.6526631,1.9,106.6334276,107
"9",281486,101.7400443,35.8864122,17.7,155.3264565,155
"10",281489,37.6771089,10.2195509,1.9,49.7966598,50
"12",281494,139.5724299,23.6175704,1.9,165.0900003,165
"15",281499,98.3115392,27.8184851,21,147.1300243,147
"19",281505,95.086015,16.0570539,1.9,113.0430689,113
"20",281506,169.9861532,10.5644101,1.9,182.4505633,182
"21",281507,26.9509893,6.32718469999998,1.9,35.178174,35
"22",281508,92.7929764,17.1884276,1.9,111.881404,112
"23",281509,4.9675968,2.5702306,1.9,9.4378274,9
"24",281512,85.1020519,16.8193556,1.9,103.8214075,104
"25",281520,38.0430458,9.4225165,1.9,49.3655623,49
"26",281527,198.1114502,29.5745747,1.9,229.5860249,230
"27",281529,36.3609429,8.3204247,1.9,46.5813676,47
"31",281541,18.4193272,30.9613972,1.9,51.2807244,51
"32",281542,116.7517315,17.0220198,67.8,201.5737513,202
"35",281549,23.0087319,12.2850434,1.9,37.1937753,37
"38",281555,41.9863318,48.7348616,1.9,92.6211934,93
"41",281568,47.6454644,9.0960355,1.9,58.6414999,59
"47",281625,105.3976318,20.8895828,1.9,128.1872146,128
"49",281632,47.7412218,20.5183444,1.9,70.1595662,70
"52",281637,23.9146895,4.21149809999997,1.9,30.0261876,30
"53",281638,26.4835343,222.5152639,1.9,250.8987982,251
"55",281656,51.4063544,16.0860269,1.9,69.3923813,69
"56",281658,70.9112603,20.1653186,1.9,92.9765789,93
"59",281670,16.1040709,94.4916806,1.9,112.4957515,112
"60",281671,97.9624027,37.1240349,1.9,136.9864376,137
"61",281686,115.610393,18.3274471,1.9,135.8378401,136
"62",281689,75.6431391,19.5396267,1.9,97.0827658,97
"63",281705,25.1898645,17.5575164,88.3,131.0473809,131
"64",281714,73.103149,12.1571893,1.9,87.1603383,87
"65",281722,76.1479551,59.1745435,1.9,137.2224986,137
"68",281758,141.5135083,15.6003047,1.9,159.013813,159
"72",281777,31.6717266,7.7540449,1.9,41.3257715,41
"73",281778,29.9735777,9.9240864,1.9,41.7976641,42
"74",281779,31.1601719,8.5838378,1.9,41.6440097,42
"75",281780,29.3529342,9.9525812,1.9,41.2055154,41
"76",281781,33.3452942,9.2742039,1.9,44.5194981,45
"84",281799,115.7695132,117.827779,1.9,235.4972922,235
"86",281805,97.9895327,28.9231066,1.9,128.8126393,129
"87",281808,24.64182,20.8566565,1.9,47.3984765,47
"89",281824,74.1712406,13.6719563,1.9,89.7431969,90
"90",281827,69.1824563,12.9512936,1.9,84.0337499,84
"91",281839,136.9955868,50.7170712,1.9,189.612658,190
"92",281862,72.7868225,44.5544966,1.9,119.2413191,119
"93",281876,68.8447605,43.240056,1.9,113.9848165,114
"94",281877,76.8401107,55.5939273,1.9,134.334038,134
"95",281880,132.1123465,49.3671296,24.6,206.0794761,206
"97",281882,75.1420728,28.6002252,1.9,105.642298,106
"98",281883,74.2686569,105.3509828,1.9,181.5196397,182
"103",281893,134.0682028,46.6188251,46.6,227.2870279,227
"104",281894,20.398905,15.0311604,1.9,37.3300654,37
"105",281896,31.1878555,10.1210343,1.9,43.2088898,43
"106",281897,33.3085356,9.9572403,1.9,45.1657759,45
"107",281899,15.952623,5.0147021,1.9,22.8673251,23
"108",281901,26.59168,8.6680763,1.9,37.1597563,37
"109",281905,73.2599831,39.3974022,19.5,132.1573853,132
"110",281906,49.790241,12.6412889,1.9,64.3315299,64
"111",281909,25.4516061,130.706521,49.2,205.3581271,205
"112",281910,82.759863,52.6796849,1.9,137.3395479,137
"114",281916,116.4666538,70.804761,1.9,189.1714148,189
"116",281921,68.1278908,44.5251437,17,129.6530345,130
"117",281923,35.899858,10.8975108,1.9,48.6973688,49
"118",281925,52.5684311,10.5686973,1.9,65.0371284,65
"120",281930,44.3619239,12.1069073,10.2,66.6688312,67
"122",281933,90.0576374,15.375626,1.9,107.3332634,107
"123",281936,108.5415976,38.6682693,1.9,149.1098669,149
"124",281937,77.9763803,17.6330074,1.9,97.5093877,98
"126",281952,102.0558348,53.2321127,1.9,157.1879475,157
"127",281953,60.6250117,37.2981496,1.9,99.8231613,100
"129",281955,99.6167176,66.6733312,1.9,168.1900488,168
"131",281968,151.500904,16.0245264,1.9,169.4254304,169
"133",281971,33.8107655,10.2187958,5.5,49.5295613,50
"135",282004,37.1409137,10.6235846,1.9,49.6644983,50
