"Row" "BootToDesktop" "DesktopToIdle" "BootToIdle"
"NA" NA NA NA
"6" 8.746 3.354 40.033
"NA.1" NA NA NA
"8" 8.817 3.303 40.99
"9" 8.86 3.33 42.71
"10" 8.867 3.263 40.287
"11" 8.823 3.293 48.143
"12" 9.144 3.3 43.077
"13" 8.677 3.666 45.91
"14" 10.217 3.273 47.85
"15" 8.163 3.214 58.54
"16" 10.203 3.367 46.62
"17" 8.093 2.993 49.873
"18" 9.01 3.427 44.98
"19" 7.88 7.09 15.677
"20" 8.977 3.203 40.657
"21" 8.813 3.354 37.72
"22" 8.703 3.294 41.32
"23" 8.784 3.316 40.227
"NA.2" NA NA NA
"25" 8.397 4.96 41.57
"26" 8.84 3.384 39.937
"27" 8.467 4.89 40.28
"28" 8.566 3.827 42.503
"29" 8.233 3.737 47.68
"30" 8.227 3.03 37.42
"31" 12.783 10.394 22.01
"32" 8.95 3.127 39.93
"33" 8.984 3.373 54.067
"34" 8.717 3.31 44.83
"35" 8.294 3.85 44.467
"36" 10.277 3.95 52.757
"37" 102.963 8.94 110.893
"38" 9.36 3.63 44.28
"39" 8.884 4.173 44.797
"40" 8.203 4.14 50.35
"41" 7.954 4.27 41.817
"42" 8.63 3.73 55.07
"43" 8.373 3.707 49.07
"44" 9.123 3.073 46.653
"45" 8.733 3.497 41.483
"NA.3" NA NA NA
"47" 8.703 3.44 41.093
"48" 8.543 3.697 46.403
"NA.4" NA NA NA
"50" 8.863 3.197 40.17
"51" 9.163 3.36 47.393
"52" 9.1 3.333 38.113
"53" 26.124 3.506 62.767
"54" 8.117 3.823 37.097
"55" 8.847 3.413 46.52
"56" 8.593 3.63 38.97
"57" 9.027 3.393 48.557
"58" 9.626 3.694 40.433
"59" 8.563 3.827 44.08
"60" 9.11 176.467 39.427
"61" 8.794 3.786 37.637
"62" 9.75 3.507 43.837
"63" 8.99 3.38 44.907
"64" 8.153 3.237 47.923
"65" 8.68 3.677 48.547
"NA.5" NA NA NA
"67" 9.027 3.413 41.56
"NA.6" NA NA NA
"NA.7" NA NA NA
"70" 9.726 3.427 44.613
"71" 8.68 3.53 40.8
"72" 9.093 3.277 45.45
"73" 8.81 3.18 42.473
"74" 8.13 4.06 46.943
"75" 9.307 2.99 38.99
"76" 9.6 3.507 41.927
"NA.8" NA NA NA
"78" 9.563 3.654 42.38
"79" 8.59 4.273 45.413
"80" 8.85 3.403 45.52
"81" 9.3 3.213 44.473
"82" 9.316 3.714 40.023
"83" 9.397 3.703 40.93
"84" 8.796 3.497 41.933
"85" 10 3.49 39.943
"86" 8.577 3.786 41.03
"87" 9.16 4.616 42.653
"88" 9.474 3.8 42.327
"89" 8.823 3.377 43.64
"90" 8.81 3.243 43.04
"NA.9" NA NA NA
"92" 9.29 4.017 42.367
"93" 8.393 4.167 43.02
"94" 9.58 5.69 40.753
"95" 8.85 3.327 42.877
"96" 8.82 3.27 42.44
"97" 8.98 3.26 40.78
"98" 8.23 3.883 45.323
"99" 9.553 3.843 45.103
"100" 8.676 3.684 41.473
"101" 8.963 3.27 46.36
"NA.10" NA NA NA
"103" 8.527 3.577 44.517
"104" 10.046 3.507 45.083
"105" 8.91 4.447 42.277
"106" 9.446 3.717 44.583
"107" 8.486 4.617 42.313
"108" 9.863 3.547 44.053
"109" 8.224 3.986 45.057
"110" 8.86 176.426 40.113
"111" 74.9 6.88 82.44
"112" 10.186 3.394 47.003
"113" 8.407 3.79 40.517
"NA.11" NA NA NA
"115" 9.937 3.327 42.727
"116" 8.757 3.33 41.38
"117" 9.867 3.636 47.37
"118" 8.95 3.696 48.573
"119" 77.717 11.303 88.977
"120" 9.207 4.27 42.71
"121" 8.45 3.933 41.163
"122" 8.856 3.544 45.073
"123" 81.79 20.813 102.153
"124" 9.55 3.954 61.677
"125" 10.37 3.656 39.883
"126" 8.45 3.76 58.22
"127" 8.58 3.616 44.163
"128" 8.63 3.71 59.563
"129" 8.504 3.63 40.517
"130" 8.997 3.163 48.227
"131" 8.02 4.246 51.683
"132" 8.563 4.284 40.57
"133" 19.753 9.917 31.72
"134" 8.61 3.55 38.43
"135" 8.737 3.383 50.137
"136" 9.354 4.943 48.887
"137" 9.28 3.64 40.083
"138" 11.507 1.936 46.5
"139" 8.35 4.16 57
"140" 8.02 4.343 47.613
"141" 60.196 4.287 92.523
"142" 9.677 3.577 41.997
"143" 9.35 3.62 40.657
"144" 11.114 3.383 45.167
"145" 9.303 3.497 41.48
"146" 8.503 3.59 42.69
"147" 8.62 3.62 41.603
"148" 8.49 4.876 41.163
"149" 8.374 4.056 41.077
"150" 9.007 3.61 51.78
"151" 8.146 3.13 39.333
"152" 7.74 3.336 52.153
"153" 8.22 3.843 41.553
"154" 9.184 3.86 45.877
"155" 8.387 4.79 47.307
"156" 9.287 3.723 48.1
"157" 8.377 4.233 41.617
"158" 8.13 4 41.967
"159" 7.837 3.233 36.06
"160" 8.013 3.217 45.78
"161" 8.38 4.907 40.267
"162" 7.82 4.36 49.587
"163" 8.764 3.506 51.427
"164" 8.13 3.13 47.9
"165" 7.964 5.15 50.467
"166" 9.717 3.596 44.04
"167" 10.443 3.81 44.9
"168" 8.91 4.41 40.463
"169" 10.303 4.1 59.643
"170" 8.636 3.52 48.623
"171" 8.133 4.06 38.15
"172" 8.397 3.703 43.21
"173" 8.347 3.73 45.477
"174" 8.843 3.497 42.52
"175" 8.66 4.04 41.56
"176" 8.44 3.663 63.62
"177" 8.71 3.4 54.457
"178" 9.403 3.7 43.98
"179" 9.4 3.89 39.22
"NA.12" NA NA NA
"181" 8.533 4.653 47.383
"182" 9.817 3.59 42.97
"183" 9.14 5.003 51.39
"184" 8.22 3.937 41.517
"185" 8.624 3.913 40.447
"186" 8.264 16.47 25.817
"187" 8.873 3.504 55.08
"188" 82.226 7.63 100.353
"189" 17.994 16.43 36.137
"190" 95.39 18.3 115.36
"191" 8.68 3.417 44.357
"192" 8.79 3.356 39.503
"193" 9.47 3.854 42.317
"194" 7.583 6.82 13.37
"195" 8.656 3.437 40.293
"196" 81.564 5.24 101.697
"197" 13.997 21.893 35.367
"198" 9.07 3.246 42.733
"199" 9.15 3.913 44.56
"200" 84.93 5.786 108.023
"201" 8.717 3.916 58.24
"202" 8.097 3.73 44.677
"203" 8.69 3.653 46.04
"204" 76.684 7.433 91.997
"205" 8.63 3.866 43.483
"206" 8.634 3.636 42.207
"207" 9.743 3.567 49.493
"NA.13" NA NA NA
"209" 8.62 3.47 39.95
"210" 8.717 4.536 39.2
"211" 68.447 6.956 81.44
"212" 5.49 17.05 20.573
"213" 8.19 3.183 38.07
"214" 8.59 3.293 45.073
"215" 8.82 4.426 44.623
"216" 8.127 3.183 48.587
"217" 8.92 3.357 48.027
"218" 86.904 6.623 108.247
"219" 7.977 8.26 13.79
"NA.14" NA NA NA
"221" 9.12 4.363 43.863
"222" 8.697 3.553 51.807
"223" 8.817 3.367 38.267
"224" 9.153 3.95 47.27
"225" 8.117 4.283 42.39
"226" 9.34 3.193 58.113
"227" 8.887 3.397 44.487
"228" 8.487 3.53 42.11
"229" 8.644 3.533 57.537
"230" 7.873 7.674 13.55
"231" 8.793 3.4 40.783
"232" 65.843 6.697 77.123
"233" 80.333 7.057 100.62
"234" 7.387 7.107 13.157
"235" 8.827 3.37 41.19
"236" 9.12 3.957 45.197
"237" 77.037 8.307 101.297
"238" 8.474 3.786 39.167
"239" 8.367 3.813 39.187
"240" 9.16 16.26 24.053
"NA.15" NA NA NA
"242" 8.023 177.383 36.033
"243" 9.07 3.226 41.453
"244" 9.237 3.853 43.787
